sample_id,type,peak_id,r_time,peak_area,wavelength,purity_pct
2025.07.03_BLK_2-propanol_01,blk,14,15.43,2394,280,6.698002350176263
2025.07.03_BLK_2-propanol_01,blk,15,18.699,1028,280,2.876168093559398
2025.07.03_BLK_2-propanol_01,blk,16,19.602,15071,280,42.16607912260086
2025.07.03_BLK_2-propanol_01,blk,17,20.945,1111,280,3.1083878909965867
2025.07.03_BLK_2-propanol_01,blk,18,22.187,2673,280,7.478596609031392
2025.07.03_BLK_2-propanol_01,blk,19,22.471,2068,280,5.785910133736221
2025.07.03_BLK_2-propanol_01,blk,20,23.304,5518,280,15.438419786245873
2025.07.03_BLK_2-propanol_01,blk,21,24.777,5879,280,16.448436013653406
2025.07.03_SMP_L001_01,smp,3,12.27,3499,280,0.20805065043328524
2025.07.03_SMP_L001_01,smp,4,12.657,1526,280,0.09073600816267313
2025.07.03_SMP_L001_01,smp,5,13.014,1642,280,0.09763337182379377
2025.07.03_SMP_L001_01,smp,6,13.38,2958,280,0.1758827733585761
2025.07.03_SMP_L001_01,smp,7,14.388,3477,280,0.20674252973893478
2025.07.03_SMP_L001_01,smp,8,14.936,69912,280,4.156969726519531
2025.07.03_SMP_L001_01,smp,9,15.236,1541939,280,91.68374160573005
2025.07.03_SMP_L001_01,smp,10,15.549,3195,280,0.18997480083862428
2025.07.03_SMP_L001_01,smp,11,15.716,2843,280,0.16904486972901686
2025.07.03_SMP_L001_01,smp,12,15.88,14690,280,0.873467863636742
2025.07.03_SMP_L001_01,smp,13,16.057,5459,280,0.32459231229359936
2025.07.03_SMP_L001_01,smp,14,16.338,14375,280,0.8547379536949058
2025.07.03_SMP_L001_01,smp,15,16.727,1222,280,0.07266015856801217
2025.07.03_SMP_L001_01,smp,16,19.404,15065,280,0.8957653754722613
2025.07.03_SMP_L001_02,smp,5,12.247,3187,280,0.1897312923874114
2025.07.03_SMP_L001_02,smp,6,12.605,1864,280,0.1109692905585613
2025.07.03_SMP_L001_02,smp,7,12.977,2233,280,0.13293692372170998
2025.07.03_SMP_L001_02,smp,8,13.379,3182,280,0.1894336279814067
2025.07.03_SMP_L001_02,smp,9,14.376,3956,280,0.23551207803093804
2025.07.03_SMP_L001_02,smp,10,14.936,70030,280,4.169087670502171
2025.07.03_SMP_L001_02,smp,11,15.236,1543531,280,91.8908476529757
2025.07.03_SMP_L001_02,smp,12,15.552,3241,280,0.19294606797226244
2025.07.03_SMP_L001_02,smp,13,15.718,2723,280,0.16210803551017297
2025.07.03_SMP_L001_02,smp,14,15.884,14541,280,0.8656676255429399
2025.07.03_SMP_L001_02,smp,15,16.062,5536,280,0.329574030328431
2025.07.03_SMP_L001_02,smp,16,16.343,14095,280,0.8391159605273184
2025.07.03_SMP_L001_02,smp,17,16.725,1134,280,0.06751028728187153
2025.07.03_SMP_L001_02,smp,18,19.399,10491,280,0.6245594566791131
2025.07.03_STD_17.75_µg_01,std,5,13.398,2488,280,0.09214825053509319
2025.07.03_STD_17.75_µg_01,std,6,14.507,2568,280,0.09511121679024087
2025.07.03_STD_17.75_µg_01,std,7,14.941,103532,280,3.8345227790993843
2025.07.03_STD_17.75_µg_01,std,8,15.225,2484991,280,92.03680596682145
2025.07.03_STD_17.75_µg_01,std,9,15.553,12038,280,0.44585234724334877
2025.07.03_STD_17.75_µg_01,std,10,15.722,6047,280,0.2239632118109761
2025.07.03_STD_17.75_µg_01,std,11,15.883,39936,280,1.4791127545697274
2025.07.03_STD_17.75_µg_01,std,12,16.335,33054,280,1.224223582470647
2025.07.03_STD_17.75_µg_01,std,13,16.702,1439,280,0.05329635551446909
2025.07.03_STD_17.75_µg_01,std,14,19.362,13904,280,0.5149635351446686
2025.07.03_STD_35.5_µg_01,std,5,9.941,1441,280,0.026642557093835048
2025.07.03_STD_35.5_µg_01,std,6,10.185,1848,280,0.03416755413560525
2025.07.03_STD_35.5_µg_01,std,7,12.541,1418,280,0.02621731156076204
2025.07.03_STD_35.5_µg_01,std,8,12.899,1619,280,0.029933587741095728
