[Header]
Application Name	LabSolutions
Version	5.71
Data File Name	C:\LabSolutions\Data\Project1\Analyst1\2026.01.19_SMP_3.lcd
Output Date	01/01/2013
Output Time	02:20:07

[File Information]
Type	Data File
Generated	01/01/2013 02:00:55
Generated by	System Administrator
Modified	01/01/2013 02:13:23
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	01/01/2013 02:01:20
Sample Type	0:Unknown
Level	0
Sample Name	2026.01.19_SMP2_
Sample ID	2026.01.19_SMP2_
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	7
Injection Volume	10

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Analyst1\2026.01.19_SMP_3.lcd
Method File	C:\LabSolutions\Data\Project1\Analyst1\Compound1.lcm
Batch File	
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	HPLC-PC-Instrument
Instrument #	2
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	1
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	2,903	2,475	4,203	9165985	1175501	7,798	0,000	   			0,000	3046	49,244	1,585	0,000	0,000	0	0	0,000	0,000

[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      1128
Interval(msec)	640
Start Time(min)	0
End Time(min)	12,0213
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	315
Bandwidth(nm)	4
R.Time (min)	Intensity
0,00000	0
0,01067	0
0,02133	0
0,03200	0
0,04267	0
0,05333	0
0,06400	0
0,07467	0
0,08533	0
0,09600	0
0,10667	0
0,11733	5
0,12800	1
0,13867	-2
0,14933	0
