[Header]
Application Name	LabSolutions
Version	5.71
Data File Name	C:\LabSolutions\Data\Project1\Analyst1\Compound1_Blank__01.lcd
Output Date	04/01/2013
Output Time	01:36:54

[File Information]
Type	Data File
Generated	03/01/2013 07:09:54
Generated by	System Administrator
Modified	03/01/2013 07:22:25
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	03/01/2013 07:10:21
Sample Type	2:Control
Level	0
Sample Name	Blank_
Sample ID	Blank_
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	48
Injection Volume	50

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Analyst1\Compound1_Blank__01.lcd
Method File	C:\LabSolutions\Data\Project1\Analyst1\Compound1.lcm
Batch File	C:\LabSolutions\Data\Project1\Analyst1\2026.01.14_Compound1_std_curve.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	HPLC-PC-Instrument
Instrument #	2
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	0

[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      1128
Interval(msec)	640
Start Time(min)	0
End Time(min)	12,0213
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	315
Bandwidth(nm)	4
R.Time (min)	Intensity
0,00000	0
0,01067	0
0,02133	0
0,03200	0
0,04267	0
0,05333	0
0,06400	0
0,07467	0
0,08533	0
0,09600	0
0,10667	0
0,11733	1
0,12800	7
0,13867	2
0,14933	-1
0,16000	-4
0,17067	-5
0,18133	-6
0,19200	-1
0,20267	2
0,21333	5
0,22400	5
0,23467	-4
0,24533	-5
0,25600	-5
0,26667	-0
0,27733	-5
0,28800	-3
0,29867	-12
0,30933	-8
0,32000	-7
0,33067	-5
0,34133	-7
0,35200	-14
0,36267	-14
0,37333	-17
0,38400	-14
0,39467	-9
0,40533	-13
0,41600	-15
0,42667	-12
0,43733	-9
0,44800	-9
0,45867	-14
0,46933	-14
0,48000	-16
0,49067	-17
0,50133	-20
0,51200	-18
0,52267	-24
0,53333	-27
0,54400	-23
0,55467	-8
0,56533	-8
0,57600	-12
0,58667	-13
0,59733	-15
0,60800	-17
0,61867	-18
0,62933	-16
0,64000	-19
0,65067	-15
0,66133	-21
0,67200	-24
0,68267	-20
0,69333	-24
0,70400	-20
0,71467	-21
0,72533	-13
0,73600	-16
0,74667	-25
0,75733	-23
0,76800	-27
0,77867	-30
0,78933	-29
0,80000	-29
0,81067	-24
0,82133	-27
0,83200	-26
0,84267	-29
0,85333	-27
0,86400	-29
0,87467	-29
0,88533	-23
0,89600	-20
0,90667	-22
0,91733	-24
0,92800	-33
0,93867	-32
0,94933	-29
0,96000	-26
0,97067	-28
0,98133	-30
0,99200	-28
1,00267	-24
1,01333	-23
1,02400	-21
1,03467	-29
1,04533	-30
1,05600	-34
1,06667	-28
1,07733	-23
1,08800	-26
1,09867	-26
1,10933	-22
1,12000	-25
1,13067	-21
1,14133	-31
1,15200	-23
1,16267	-31
1,17333	-33
1,18400	-38
1,19467	-31
1,20533	-24
1,21600	-4
1,22667	-25
1,23733	-33
1,24800	-34
1,25867	-34
1,26933	-41
1,28000	-37
1,29067	-35
1,30133	-37
1,31200	-36
1,32267	-33
1,33333	-35
1,34400	-35
1,35467	-32
1,36533	-35
1,37600	-36
1,38667	-41
1,39733	-35
1,40800	-38
1,41867	-35
1,42933	-40
1,44000	-41
1,45067	-41
1,46133	-42
1,47200	-40
1,48267	-38
1,49333	-39
1,50400	-39
1,51467	-39
1,52533	-19
1,53600	-37
1,54667	-45
1,55733	-39
1,56800	-47
1,57867	-43
1,58933	-44
1,60000	-36
1,61067	-28
1,62133	-29
1,63200	-29
1,64267	-39
1,65333	-37
1,66400	-37
1,67467	-36
1,68533	-38
1,69600	-32
1,70667	-27
1,71733	-34
1,72800	-35
1,73867	-32
1,74933	-37
1,76000	-40
1,77067	-36
1,78133	-38
1,79200	-38
1,80267	-35
1,81333	-34
1,82400	-33
1,83467	-36
1,84533	-35
1,85600	-36
1,86667	-36
1,87733	-32
1,88800	-32
1,89867	-30
1,90933	-38
1,92000	-31
1,93067	-32
1,94133	-33
1,95200	-27
1,96267	-30
1,97333	-33
1,98400	-31
1,99467	-36
2,00533	-29
2,01600	-34
2,02667	-32
2,03733	-29
2,04800	-31
2,05867	-29
2,06933	-31
2,08000	-30
2,09067	-18
2,10133	-18
2,11200	-25
2,12267	-22
2,13333	-26
2,14400	-14
2,15467	-20
2,16533	-20
2,17600	-19
2,18667	-18
2,19733	-15
2,20800	-19
2,21867	-23
2,22933	-24
2,24000	-25
2,25067	-21
2,26133	-20
2,27200	-20
2,28267	-27
2,29333	-23
2,30400	-22
2,31467	-25
2,32533	-24
2,33600	-31
2,34667	-24
2,35733	-23
2,36800	-24
2,37867	-22
2,38933	-15
2,40000	-15
2,41067	-16
2,42133	-15
2,43200	-12
2,44267	-12
2,45333	-13
2,46400	-9
2,47467	-8
2,48533	-11
2,49600	-11
2,50667	-10
2,51733	-10
2,52800	-13
2,53867	15
2,54933	47
2,56000	14
2,57067	3
2,58133	-8
2,59200	-8
2,60267	-7
2,61333	-8
2,62400	-6
2,63467	-5
2,64533	-8
2,65600	-3
2,66667	2
2,67733	1
2,68800	-5
2,69867	-4
2,70933	-3
2,72000	-1
2,73067	-4
2,74133	-3
2,75200	-9
2,76267	-14
2,77333	-9
2,78400	-7
2,79467	-9
2,80533	-11
2,81600	-11
2,82667	-12
2,83733	-9
