[Header]
Application Name	LabSolutions
Version	5.71
Data File Name	C:\LabSolutions\Data\Project1\Analyst1\Compound1_STD7__16.lcd
Output Date	04/01/2013
Output Time	01:43:49

[File Information]
Type	Data File
Generated	03/01/2013 10:17:34
Generated by	System Administrator
Modified	03/01/2013 10:30:04
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	03/01/2013 10:18:01
Sample Type	1:Standard
Level	1
Sample Name	STD7_
Sample ID	STD7_
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	55
Injection Volume	50

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Analyst1\Compound1_STD7__16.lcd
Method File	C:\LabSolutions\Data\Project1\Analyst1\Compound1.lcm
Batch File	C:\LabSolutions\Data\Project1\Analyst1\2026.01.14_Compound1_std_curve.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	HPLC-PC-Instrument
Instrument #	2
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	1
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	2,929	2,741	3,968	7095349	894979	7,928	0,000	   			0,000	2921	51,361	1,574	0,000	0,000	0	0	0,000	0,000

[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      1128
Interval(msec)	640
Start Time(min)	0
End Time(min)	12,0213
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	315
Bandwidth(nm)	4
R.Time (min)	Intensity
0,00000	0
0,01067	0
0,02133	0
0,03200	0
0,04267	0
0,05333	0
0,06400	0
0,07467	0
0,08533	0
0,09600	0
0,10667	0
0,11733	3
0,12800	-8
0,13867	-3
0,14933	3
0,16000	2
0,17067	3
0,18133	3
0,19200	0
0,20267	2
0,21333	1
0,22400	-4
0,23467	-3
0,24533	-6
0,25600	-2
0,26667	1
0,27733	1
0,28800	2
0,29867	-2
0,30933	-2
0,32000	-7
0,33067	1
0,34133	-3
0,35200	-7
0,36267	-8
0,37333	6
0,38400	-1
0,39467	-4
0,40533	4
0,41600	-1
0,42667	2
0,43733	0
0,44800	-5
0,45867	-1
0,46933	-3
0,48000	-4
0,49067	2
0,50133	4
0,51200	0
0,52267	-4
0,53333	-4
0,54400	-9
0,55467	-8
0,56533	-2
0,57600	4
0,58667	2
0,59733	-6
0,60800	0
0,61867	-5
0,62933	-4
0,64000	-0
0,65067	0
0,66133	-5
0,67200	-3
0,68267	-10
0,69333	-4
0,70400	0
0,71467	-1
0,72533	-1
0,73600	-2
0,74667	-7
0,75733	-7
0,76800	-1
0,77867	-2
0,78933	-6
0,80000	-8
0,81067	-2
0,82133	-2
0,83200	-1
0,84267	-2
0,85333	-0
0,86400	-3
0,87467	4
0,88533	-1
0,89600	-4
0,90667	4
0,91733	3
0,92800	6
0,93867	-0
0,94933	-1
0,96000	3
0,97067	3
0,98133	-1
0,99200	0
1,00267	-5
1,01333	-7
1,02400	-2
1,03467	-3
1,04533	-9
1,05600	-4
1,06667	-6
1,07733	-9
1,08800	-10
1,09867	-8
1,10933	-9
1,12000	-4
1,13067	-11
1,14133	-14
1,15200	-9
1,16267	-5
1,17333	-0
1,18400	-1
1,19467	-11
1,20533	-10
1,21600	3
1,22667	-2
1,23733	-2
1,24800	-2
1,25867	-7
1,26933	-9
1,28000	-6
1,29067	-11
1,30133	-10
1,31200	-8
1,32267	-13
1,33333	-13
1,34400	-5
1,35467	-7
1,36533	-5
1,37600	-4
1,38667	-7
1,39733	-5
1,40800	-6
1,41867	-7
1,42933	-7
1,44000	-9
1,45067	-9
1,46133	-10
1,47200	-7
1,48267	-1
1,49333	-6
1,50400	-7
1,51467	-4
1,52533	1
1,53600	-4
1,54667	-11
1,55733	-9
1,56800	-10
1,57867	-12
1,58933	-10
1,60000	-10
1,61067	-8
1,62133	-10
1,63200	-15
1,64267	-12
1,65333	-15
1,66400	-9
1,67467	-13
1,68533	-12
1,69600	-2
1,70667	-7
1,71733	-1
1,72800	-7
1,73867	-4
1,74933	-8
1,76000	-6
1,77067	-9
1,78133	-13
1,79200	-4
1,80267	-2
1,81333	-3
1,82400	-5
1,83467	-4
1,84533	-9
1,85600	-10
1,86667	-8
1,87733	-6
1,88800	-7
1,89867	-17
1,90933	-16
1,92000	-14
1,93067	-16
1,94133	-9
1,95200	-14
1,96267	-8
1,97333	-6
1,98400	-10
1,99467	-13
2,00533	-11
2,01600	-7
2,02667	-9
2,03733	-4
2,04800	-6
2,05867	-3
